vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Finca Antigua Clavis Viñedo Pico Garbanzo 2014|Clavis Viñedo Pico Garbanzo|2014|La Mancha|Finca Antigua|Tinto|Grenache., Tempranillo|37.9|3.2172077|3.7835066|1.2157143|3.360162|382|4.1|white
Cuevas de Arom OS Cantals 2021|OS Cantals|2021|Campo de Borja|Cuevas de Arom|Grenache.|Grenache.|42.21|3.4279313|3.7198606|1.5737941|2.8419185|378|4.1|white
Emilio Moro La Felisa 2020|La Felisa|2020|Ribera del Duero|Emilio Moro|Tinto de Ribera del Duero|Tempranillo|26.5|3.4639144|3.7746|1.8652196|3.556877|2904|4.2|white
Luis Cañas Rioja Reserva 2017|Rioja Reserva|2017|Rioja|Luis Cañas|Tinto de Rioja|Tempranillo, Graciano, Garnacha|16.5|3.6326044|3.880223|1.7176509|3.7141204|26248|4.0|white
Legaris Ribera del Duero Reserva 2017|Ribera del Duero Reserva|2017|Ribera del Duero|Legaris|Tinto de Ribera del Duero|Tempranillo|31.8|3.686997|4.052703|1.9727578|3.6740146|4360|4.0|white
Enate Reserva Cabernet Sauvignon 2014|Reserva Cabernet Sauvignon|2014|Somontano|Enate|Cabernet Sauvignon|Cabernet Sauvignon|16.26|3.5190368|4.7132106|1.8311559|3.624279|3986|4.0|white
Baron de Ley Finca Monasterio Rioja 2020|Finca Monasterio Rioja|2020|Rioja|Baron de Ley|Tinto de Rioja|Tempranillo, Graciano, Garnacha|20.75|3.7047856|3.8957405|1.7153329|3.6884446|65589|4.1|white
Bodegas Bhilar Phinca Hapa Elvillar 2021|Phinca Hapa Elvillar|2021|Rioja|Bodegas Bhilar|Tinto de Rioja|Tempranillo, Graciano, Garnacha|23.95|3.6583128|3.946715|2.0121226|4.1141787|364|4.1|white
Bodegas Quinta de Aves Phoenix 2019|Phoenix|2019|Castilla|Bodegas Quinta de Aves|Tempranillo|Tempranillo|18.8|2.9473765|4.2182097|1.9179629|3.5649693|357|4.1|white
Loxera El Cordero y las Vírgenes 2017|El Cordero y las Vírgenes|2017|Valencia|Loxera|Tinto|Grenache., Tempranillo|21.2|3.2973228|3.8906534|1.8679758|3.3997662|355|4.1|white
Hacienda Solano Viñas Viejas 2018|Viñas Viejas|2018|Ribera del Duero|Hacienda Solano|Tinto de Ribera del Duero|Tempranillo|21.5|3.8536863|3.8694797|1.7829149|3.5603247|1240|4.0|white
