vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Luis A. Rodriguez Vazquez A Teixa Ribeiro 2020|A Teixa Ribeiro|2020|Ribeiro|Luis A. Rodriguez Vazquez|White||29.77|3.0||3.0|1.0||816|4.2|816|4.2
Muga Flor de Muga Blanco 2021|Flor de Muga Blanco|2021|Rioja|Muga|Blanco de Rioja|Viura|36.0|3.2863216||4.227277|1.8819903||707|4.2|707|4.2
Viñedos y Bodegas Muñoz Blas Muñoz Chardonnay 2021|Blas Muñoz Chardonnay|2021|Castilla|Viñedos y Bodegas Muñoz|Chardonnay|Chardonnay|36.25|3.2169237||3.4211917|2.0002534||682|4.2|4862|4.2
Attis Embaixador Albariño 2021|Embaixador Albariño|2021|Rías Baixas|Attis|Albariño|Albariño|38.54|3.6774487||2.345378|1.7272767||674|4.2|674|4.2
Albamar Pepe Luis 2022|Pepe Luis|2022|Galicia|Albamar|Albariño|Albariño|39.9|3.7673712||2.4283738|1.4509542||658|4.2|658|4.2
Fefiñanes Albariño de Fefiñanes 2022|Albariño de Fefiñanes|2022|Rías Baixas|Fefiñanes|Albariño|Albariño|18.5|3.6779437||1.695295|1.5239315||615|4.2|13124|4.1
Oxer Wines Iraun Rioja 2023|Iraun Rioja|2023|Rioja|Oxer Wines|Blanco de Rioja|Viura|32.9|3.0479789||4.15439|1.7152631||576|4.2|576|4.2
Castell d'Encus Ekam Essència 2021|Ekam Essència|2021|Costers del Segre|Castell d'Encus|White||47.95|3.2112677||2.700845|1.7622535||555|4.2|555|4.2
Pazo de Rubianes Albariño 2021|Albariño|2021|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|16.5|3.7205129||2.2530751|1.7215718||545|4.2|2621|4.2
El Grillo y La Luna Canto del Grillo Cri, Cri 2022|Canto del Grillo Cri, Cri|2022|Aragón|El Grillo y La Luna|Chardonnay|Chardonnay|28.15|3.1890924||3.4797294|1.8903283||493|4.2|493|4.2
