vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Valdeorite Lar de Barros Crianza 2019|Lar de Barros Crianza|2019|Ribera del Guadiana|Valdeorite|Tempranillo|Tempranillo|16.0|2.5714862|3.9194891|1.747647|3.3372908|1016|3.8|white
Asúa Reserva 2018|Reserva|2018|Rioja|Asúa|Tinto de Rioja|Tempranillo, Graciano, Garnacha|24.24|3.7911785|3.8662784|1.4651138|4.021671|1176|4.1|white
Viña Ijalba Crianza 2020|Crianza|2020|Rioja|Viña Ijalba|Tinto de Rioja|Tempranillo, Graciano, Garnacha|9.95|3.7294614|3.7483375|1.6029366|3.832828|1964|3.8|white
Aseginolaza & Leunda Cuvée 2019|Cuvée|2019|Navarra|Aseginolaza & Leunda|Tinto|Grenache., Tempranillo|17.9|3.2726986|3.7234457|1.5289156|3.0721204|102|4.0|white
Aseginolaza & Leunda Cuvée 2021|Cuvée|2021|Navarra|Aseginolaza & Leunda|Tinto|Grenache., Tempranillo|17.8|3.2726986|3.7234457|1.5289156|3.0721204|102|4.0|white
Luzon Altos de Luzón 2020|Altos de Luzón|2020|Jumilla|Luzon|Monastrell|Monastrell|13.75|3.2735758|3.8580763|1.7586386|3.3548856|6080|3.9|white
Volver Quinta del 67 2020|Quinta del 67|2020|Almansa|Volver|Tinto|Grenache., Tempranillo|11.85|3.036301|4.1217074|2.0973165|3.5872552|2002|4.0|white
Baigorri Rioja Belus 2017|Rioja Belus|2017|Rioja|Baigorri|Tinto de Rioja|Tempranillo, Graciano, Garnacha|23.9|3.6184042|3.9374154|1.885758|3.5898256|981|4.0|white
Carlos Sanchez Buradòn Las Plegarias 2022|Buradòn Las Plegarias|2022|Rioja|Carlos Sanchez|Tinto de Rioja|Tempranillo, Graciano, Garnacha|40.5|3.2588382|3.7984023|1.0090663|3.845083|102|4.0|white
Mas d'en Blei Liber Garnatxa - Samsó 2015|Liber Garnatxa - Samsó|2015|Priorato|Mas d'en Blei|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|29.55|3.5831747|3.971746|2.0136507|3.2914286|101|4.0|white
Rafael Cambra Casa Sosegada Casa de Viñas Autóctonas 2020|Casa Sosegada Casa de Viñas Autóctonas|2020|Valencia|Rafael Cambra|Monastrell|Monastrell|19.25|3.2885888|3.101227|1.1794479|3.9104908|184|4.0|white
Celler del Roure Maduresa 2021|Maduresa|2021|Valencia|Celler del Roure|Tinto|Grenache., Tempranillo|18.75|3.1810303|3.6773899|1.7651497|2.987101|2718|3.9|white
Luis A. Rodriguez Vazquez Eidos Ermos Ribeiro 2019|Eidos Ermos Ribeiro|2019|Ribeiro|Luis A. Rodriguez Vazquez|Tinto|Grenache., Tempranillo|15.25|3.4424975|3.3028736|1.6809611|2.7217448|919|3.8|white
